model,epoch,train_loss,val_loss
unet_128_1e-6,0,0.6326576471328735,0.6156899972420344
unet_128_1e-6,1,0.4945407807826996,0.5753946659521658
unet_128_1e-6,2,0.5946961045265198,0.5699089852474626
unet_128_1e-6,3,0.6879023313522339,0.5627335498768024
unet_128_1e-6,4,0.45219120383262634,0.5526128786008595
unet_128_1e-6,5,0.42217811942100525,0.5469057020324269
unet_128_1e-6,6,0.7368273735046387,0.5410048899404968
unet_128_1e-6,7,0.7252022624015808,0.5416133371946887
unet_128_1e-6,8,0.450391948223114,0.5457779852590486
unet_128_1e-6,9,0.42635130882263184,0.5382068454267308
unet_128_1e-6,10,0.8976573944091797,0.5417133439001292
