model,epoch,train_loss,val_loss
unet_128_1e-4,0,0.7757731787860394,0.9162994898557663
unet_128_1e-4,1,0.5637617483735085,0.9022089732885361
unet_128_1e-4,2,0.4897742308676243,0.7598085806369782
unet_128_1e-4,3,0.4291782137006521,0.75215023624897
unet_128_1e-4,4,0.42247864603996277,0.7298899564743042
unet_128_1e-4,5,0.38910143449902534,0.7548029428720474
unet_128_1e-4,6,0.40160124748945236,0.7249593685865402
unet_128_1e-4,7,0.3620417807251215,0.7312425638437271
unet_128_1e-4,8,0.3572241812944412,0.75263005900383
unet_128_1e-4,9,0.33841406367719173,0.7314835430383683
unet_128_1e-4,10,0.3794980850070715,0.7390560513734817
unet_128_1e-4,11,0.31929509341716766,0.7203730432987213
unet_128_1e-4,12,0.3219619132578373,0.7185224710702897
unet_128_1e-4,13,0.3281242158263922,0.7430459170341491
unet_128_1e-4,14,0.32904897816479206,0.7257536890506744
